payload_length,digit_ratio,special_char_count,amount,amount_missing,merchant_name_missing,merchant_name_length,generic_merchant_name,upi_id_length,upi_handle_length,has_embedded_url,non_standard_param_count,suspicious_vpa_pattern,dataset_source,label
57,0.0526,11,0.0,1,0,11,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
54,0.0556,11,0.0,1,0,12,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,658.88,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1552,11,1240.34,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,681.69,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0517,11,0.0,1,0,11,0,19,8,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1273,11,517.1,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,615.58,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,35.69,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,559.84,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1455,11,413.67,0,0,11,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
50,0.06,11,0.0,1,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1465.14,0,0,11,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,547.71,0,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
50,0.06,11,0.0,1,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
55,0.0545,11,0.0,1,0,12,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
63,0.1111,11,284.7,0,0,12,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,607.05,0,0,14,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
63,0.0476,11,0.0,1,0,16,0,19,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,630.1,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,669.65,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1148,11,319.6,0,0,14,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,832.47,0,0,16,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1148,11,354.9,0,0,12,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
51,0.0588,11,0.0,1,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,821.4,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0526,11,0.0,1,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,708.36,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,745.75,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,48.54,0,0,11,0,21,10,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,1011.7,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,668.92,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,710.32,0,0,12,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1385,11,1043.57,0,0,16,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1455,11,829.64,0,0,10,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
54,0.0556,11,0.0,1,0,11,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,818.46,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1142.39,0,0,12,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1050.39,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1045,11,30.37,0,0,16,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,975.09,0,0,12,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,728.92,0,0,11,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
54,0.0556,11,0.0,1,0,10,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1283.07,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,431.43,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,675.36,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1364,11,1305.71,0,0,12,0,19,8,0,0,0,SYNTHETIC_UPI_V1,1
51,0.0588,11,0.0,1,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1186,11,998.9,0,0,10,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,889.37,0,0,16,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0517,11,0.0,1,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1475,11,1455.24,0,0,10,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,602.25,0,0,11,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,943.93,0,0,10,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,359.81,0,0,12,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,156.68,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0526,11,0.0,1,0,12,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,10,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0526,11,0.0,1,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1077,11,878.9,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1071,11,24.0,0,0,12,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.05,11,0.0,1,0,16,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,642.22,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
64,0.1406,11,1281.47,0,0,19,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,449.89,0,0,11,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1475,11,1355.37,0,0,12,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,293.3,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1356.07,0,0,16,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1385,11,1101.22,0,0,12,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1129,11,271.7,0,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,1371.1,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,514.69,0,0,11,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
69,0.1159,11,346.17,0,0,16,0,19,10,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1475,11,1126.03,0,0,12,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1228,11,712.5,0,0,14,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,956.75,0,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,183.85,0,0,11,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,183.02,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
63,0.127,11,562.81,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,1252.2,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,158.04,0,0,19,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,292.81,0,0,12,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0517,11,0.0,1,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
53,0.0566,11,0.0,1,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0517,11,0.0,1,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1185.08,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1364,11,1199.79,0,0,16,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
58,0.0517,11,0.0,1,0,12,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
63,0.1111,11,33.51,0,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,719.61,0,0,14,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1418.67,0,0,12,0,12,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,1446.4,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,170.86,0,0,10,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,107.87,0,0,11,0,17,8,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,900.11,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,180.48,0,0,14,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,685.71,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1001.01,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
51,0.0588,11,0.0,1,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,838.99,0,0,11,0,19,10,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1607,11,1001.36,0,0,10,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,904.61,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,344.12,0,0,16,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1231,11,865.41,0,0,14,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,990.17,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.1455,11,533.02,0,0,11,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
51,0.0588,11,0.0,1,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,517.94,0,0,10,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,241.81,0,0,14,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,641.78,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,175.23,0,0,14,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1476.82,0,0,12,0,15,8,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1194,11,1148.6,0,0,19,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,271.79,0,0,12,0,12,3,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,867.88,0,0,14,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
56,0.125,11,613.5,0,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
53,0.0566,11,0.0,1,0,11,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
69,0.1159,11,472.31,0,0,14,0,21,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,179.9,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1525,11,1437.75,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
52,0.0577,11,0.0,1,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
55,0.0545,11,0.0,1,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,944.55,0,0,11,0,19,8,0,0,0,SYNTHETIC_UPI_V1,1
63,0.1429,11,1196.53,0,0,12,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1167,11,66.03,0,0,11,0,16,7,0,0,0,SYNTHETIC_UPI_V1,1
60,0.15,11,1466.28,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,835.93,0,0,10,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,757.04,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,267.11,0,0,14,0,14,7,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,918.61,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
54,0.1481,11,514.17,0,0,10,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
54,0.0556,11,0.0,1,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
67,0.1343,11,1278.83,0,0,11,0,21,10,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,987.52,0,0,11,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,968.8,0,0,11,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,640.88,0,0,14,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,519.18,0,0,16,0,10,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.05,11,0.0,1,0,16,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,930.87,0,0,11,0,19,10,0,0,0,SYNTHETIC_UPI_V1,1
61,0.0984,11,75.1,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,919.79,0,0,19,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1178.71,0,0,11,0,16,8,0,0,0,SYNTHETIC_UPI_V1,1
62,0.129,11,1169.4,0,0,12,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,216.21,0,0,19,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,162.86,0,0,11,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1129,11,774.9,0,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,1396.4,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1231,11,131.59,0,0,19,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,215.02,0,0,11,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
56,0.125,11,216.8,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
59,0.0508,11,0.0,1,0,14,0,17,8,0,0,0,SYNTHETIC_UPI_V1,1
51,0.0588,11,0.0,1,0,10,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1379,11,962.04,0,0,12,0,12,3,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1231,11,866.82,0,0,12,0,19,8,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,630.69,0,0,11,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1231,11,820.68,0,0,14,0,17,10,0,0,0,SYNTHETIC_UPI_V1,1
65,0.1385,11,1471.75,0,0,12,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
56,0.1429,11,523.76,0,0,11,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
57,0.0526,11,0.0,1,0,11,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
57,0.1404,11,723.01,0,0,12,0,11,3,0,0,0,SYNTHETIC_UPI_V1,1
62,0.1452,11,1415.97,0,0,14,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
69,0.1159,11,480.24,0,0,19,0,16,7,0,0,0,SYNTHETIC_UPI_V1,1
53,0.0566,11,0.0,1,0,11,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.15,11,1201.02,0,0,11,0,14,5,0,0,0,SYNTHETIC_UPI_V1,1
58,0.1207,11,586.1,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
61,0.1311,11,783.72,0,0,11,0,16,5,0,0,0,SYNTHETIC_UPI_V1,1
66,0.1212,11,1492.7,0,0,14,0,18,10,0,0,0,SYNTHETIC_UPI_V1,1
54,0.0556,11,0.0,1,0,14,0,12,5,0,0,0,SYNTHETIC_UPI_V1,1
64,0.125,11,533.81,0,0,16,0,14,3,0,0,0,SYNTHETIC_UPI_V1,1
60,0.1333,11,658.06,0,0,11,0,15,7,0,0,0,SYNTHETIC_UPI_V1,1
64,0.1406,11,1127.35,0,0,11,0,18,7,0,0,0,SYNTHETIC_UPI_V1,1
64,0.1406,11,1020.35,0,0,16,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
70,0.1143,11,555.83,0,0,19,0,17,8,0,0,0,SYNTHETIC_UPI_V1,1
59,0.1356,11,1021.8,0,0,12,0,13,5,0,0,0,SYNTHETIC_UPI_V1,1
